time,inst,cpy cycles,misses,pages,switches,bus,pref
108,7,2,2305,0,0,0,163
108,7,2,2302,0,0,0,150
108,7,2,2277,0,0,0,140
108,7,2,2294,0,0,0,146
108,7,2,2261,0,0,0,144
108,7,2,2279,0,0,0,167
108,7,2,2288,0,0,0,160
108,7,2,2258,0,0,0,149
107,7,2,2259,0,0,0,157
107,7,2,2263,0,0,0,155
107,7,2,2246,0,0,0,152
107,7,3,3013,0,0,0,155
107,7,2,2338,0,0,0,155
107,7,2,2460,0,0,0,149
107,7,2,2244,0,0,0,157
107,7,2,2294,0,0,0,156
107,7,2,2268,0,0,0,156
107,7,2,2169,0,0,0,145
107,7,2,2290,0,0,0,144
107,7,2,2198,0,0,0,160
107,7,2,2279,0,0,0,144
107,7,2,2260,0,0,0,148
107,7,2,2269,0,0,0,150
107,7,2,2293,0,0,0,162
107,7,2,2264,0,0,0,149
107,7,2,2272,0,0,0,159
107,7,2,2263,0,0,0,153
107,7,2,2295,0,0,0,161
107,7,2,2279,0,0,0,146
107,7,2,2107,0,0,0,144
107,7,2,2260,0,0,0,148
107,7,2,2278,0,0,0,151
107,7,2,2276,0,0,0,155
107,7,2,2250,0,0,0,150
107,7,2,2246,0,0,0,149
106,7,2,2145,0,0,0,164
106,7,2,2273,0,0,0,162
106,7,2,2262,0,0,0,158
106,7,2,2158,0,0,0,169
106,7,2,2241,0,0,0,161
106,7,3,2955,0,0,0,173
106,7,3,3209,0,0,0,174
106,7,2,2466,0,0,0,165
106,7,3,3373,0,0,0,151
106,7,2,2276,0,0,0,150
106,7,2,2278,0,0,0,171
106,7,2,2270,0,0,0,158
106,7,2,2295,0,0,0,156
106,7,2,2232,0,0,0,153
106,7,2,2240,0,0,0,151
106,7,2,2285,0,0,0,158
106,7,2,2181,0,0,0,179
106,7,2,2277,0,0,0,149
105,7,2,2247,0,0,0,137
105,7,2,2454,0,0,0,164
105,7,2,2235,0,0,0,160
105,7,2,2255,0,0,0,152
105,7,3,2666,0,0,0,184
105,7,3,2770,0,0,0,180
105,7,2,2235,0,0,0,149
105,7,2,2295,0,0,0,151
105,7,2,2227,0,0,0,150
105,7,2,2250,0,0,0,148
105,7,2,2268,0,0,0,158
105,7,2,2216,0,0,0,152
105,7,2,2211,0,0,0,149
105,7,2,2281,0,0,0,154
105,7,2,2202,0,0,0,154
105,7,2,2256,0,0,0,152
105,7,2,2216,0,0,0,147
105,7,2,2252,0,0,0,162
105,7,2,2142,0,0,0,146
105,7,2,2303,0,0,0,155
105,7,2,2294,0,0,0,153
105,7,2,2285,0,0,0,156
105,7,2,2270,0,0,0,153
105,7,2,2537,0,0,0,158
105,7,2,2294,0,0,0,159
105,7,2,2116,0,0,0,149
105,7,2,2257,0,0,0,150
105,7,2,2266,0,0,0,138
105,7,2,2263,0,0,0,160
105,7,2,2211,0,0,0,177
105,7,2,2258,0,0,0,154
105,7,2,2310,0,0,0,167
105,7,2,2287,0,0,0,163
105,7,2,2260,0,0,0,162
104,7,2,2287,0,0,0,158
104,7,2,2068,0,0,0,143
104,7,3,2749,0,0,0,175
104,7,2,2306,0,0,0,151
104,7,2,2314,0,0,0,176
104,7,2,2075,0,0,0,135
104,7,2,2229,0,0,0,146
104,7,2,2219,0,0,0,154
104,7,2,2246,0,0,0,154
104,7,2,2348,0,0,0,160
104,7,2,2217,0,0,0,155
104,7,2,2267,0,0,0,161
104,7,2,2066,0,0,0,144
104,7,2,2230,0,0,0,153
104,7,2,2263,0,0,0,145
104,7,2,2250,0,0,0,149
104,7,2,2287,0,0,0,157
104,7,2,2233,0,0,0,153
104,7,2,2205,0,0,0,145
104,7,2,2192,0,0,0,166
104,7,2,2406,0,0,0,155
104,7,2,2268,0,0,0,168
104,7,2,2272,0,0,0,149
104,7,2,2285,0,0,0,161
104,7,2,2280,0,0,0,145
104,7,2,2131,0,0,0,148
104,7,2,2271,0,0,0,148
104,7,2,2283,0,0,0,144
104,7,2,2248,0,0,0,161
104,7,2,2142,0,0,0,141
104,7,2,2257,0,0,0,161
104,7,2,2290,0,0,0,168
